Symbol,Description
JUBLFOOD,Jubilant Foodworks Limited
STARHEALTH,Star Health & Allied Insurance Co. Ltd.
KARURVYSYA,Karur Vysya Bank Ltd.
HEXT,Hexaware Technologies Limited
LICHSGFIN,LIC Housing Finance Ltd
IREDA,Indian Renewable Energy Development Agency Ltd.
NUVAMA,Nuvama Wealth Management Limited
ESCORTS,Escorts Kubota Limited
KIRLOSENG,Kirloskar Oil Engines Limited
GODFRYPHLP,Godfrey Phillips India Ltd.
NIACL,New India Assurance Co. Ltd.
HONAUT,Honeywell Automation India Limited
REDINGTON,Redington Limited
SHYAMMETL,Shyam Metalics & Energy Ltd.
ABSLAMC,Aditya Birla Sun Life Amc Limited
IKS,Inventurus Knowledge Solutions Limited
PNBHOUSING,PNB Housing Finance Limited
UCOBANK,UCO Bank
MANAPPURAM,Manappuram Finance Limited
SCHNEIDER,Schneider Electric Infrastructure Limited
TATATECH,Tata Technologies Limited
MRPL,Mangalore Refinery & Petrochemicals Ltd.
NEULANDLAB,Neuland Laboratories Ltd.
BANDHANBNK,Bandhan Bank Ltd.
CRAFTSMAN,Craftsman Automation Ltd.
RUBICON,Rubicon Research Limited
PPLPHARMA,Piramal Pharma Limited
CENTRALBK,Central Bank of India
CDSL,Central Depository Services (India) Limited
BIRET.RR,Brookfield India Real Estate Trust
NETWEB,Netweb Technologies India Limited
ACUTAAS,Acutaas Chemicals Ltd
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd
PFOCUS,Prime Focus Limited
RRKABEL,RR Kabel Ltd.
GRSE,Garden Reach Shipbuilders & Engineers Ltd.
ANGELONE,Angel One Limited
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
SANSERA,Sansera Engineering Limited
URBANCO,Urban Company Limited
APOLLOTYRE,Apollo Tyres Limited.
IIFL,IIFL Finance Limited
CGCL,Capri Global Capital Limited
TVSHLTD,TVS Holdings Limited
METROBRAND,Metro Brands Ltd.
SUNDRMFAST,Sundram Fasteners Limited
JYOTICNC,Jyoti Cnc Automation Limited
DATAPATTNS,Data Patterns (India) Limited
HATSUN,Hatsun Agro Product Limited
NXST.RR,Nexus Select Trust
AMBER,Amber Enterprises India Ltd.
SJVN,SJVN Limited
KPIL,Kalpataru Projects International Limited
ITI,ITI Limited
KAYNES,Kaynes Technology India Ltd.
ASAHIINDIA,Asahi India Glass Limited
PGHH,Procter & Gamble Hygiene & Health Care Ltd.
AWL,AWL Agri Business Ltd
MSUMI,Motherson Sumi Wiring India Ltd
EMMVEE,Emmvee Photovoltaic Power Limited
TIMKEN,Timken India Limited
ACC,ACC Limited
BELRISE,Belrise Industries Limited
TDPOWERSYS,TD Power Systems Limited
CUB,City Union Bank Limited
FORCEMOT,Force Motors Limited
GILLETTE,Gillette India Limited
GABRIEL,Gabriel India Limited
SUMICHEM,Sumitomo Chemical India Ltd.
AFFLE,Affle 3i Limited
CARBORUNIV,Carborundum Universal Limited
DIACABS,Diamond Power Infrastructure Limited
NBCC,NBCC (INDIA) LIMITED
GUJENERGY,Gujarat Energy Ltd
CREDITACC,CreditAccess Grameen Ltd.
PINELABS,Pine Labs Limited
GODIGIT,Go Digit General Insurance Limited
MILKYMIST,Milky Mist Dairy Food Ltd.
IRB,IRB Infrastructure Developers Limited
GRINDWELL,Grindwell Norton Limited
AETHER,Aether Industries Ltd.
GRANULES,Granules India Limited
MTARTECH,MTAR Technologies Ltd.
DEEPAKNTR,Deepak Nitrite Limited
CEMPRO,Cemindia Projects Ltd
SAGILITY,Sagility Limited
ANANTRAJ,Anant Raj Ltd.
FINCABLES,Finolex Cables Limited
GESHIP,Great Eastern Shipping Co. Ltd.
CUBEINVIT,CUBE HIGHWAYS TRUST Units
CAPLIPOINT,Caplin Point Laboratories Limited
SHILPAMED,Shilpa Medicare Limited
SHRIPISTON,SPR Auto Technologies Ltd
RAMCOCEM,Ramco Cements Limited
IGL,Indraprastha Gas Limited
HBLENGINE,HBL Engineering Limited
TENNIND,Tenneco Clean Air India Limited
KIOCL,KIOCL Ltd
CHENNPETRO,Chennai Petroleum Corporation Limited
TATAELXSI,Tata Elxsi Limited
AADHARHFC,Aadhar Housing Finance Ltd
WELSPUNLIV,Welspun Living Limited
IFCI,IFCI Limited
HAPPYFORGE,Happy Forging Limited
BRIGADE,Brigade Enterprises Limited
RATNAMANI,Ratnamani Metals & Tubes Ltd.
ELGIEQUIP,ELGI Equipments Limited
EIHOTEL,EIH Limited
CASTROLIND,Castrol India Limited
ESDS,ESDS Software Solution Limited
CESC,CESC Ltd
INOXINDIA,INOX India Limited
KAJARIACER,Kajaria Ceramics Limited
CHALET,Chalet Hotels Ltd.
FSL,Firstsource Solutions Limited
JINDALSAW,Jindal Saw Limited
TBOTEK,TBO Tek Ltd.
PFIZER,PFIZER LIMITED
LMW,LMW Limited
ABDL,Allied Blenders and Distillers Limited
ONESOURCE,OneSource Specialty Pharma Limited
ECLERX,eClerx Services Limited
AARTIIND,AARTI Industries Ltd
SUNTV,Sun TV Network Limited
ERIS,Eris Lifesciences Ltd
THELEELA,Leela Palaces Hotels & Resorts Limited
ATUL,Atul Limited
LALITHAA,Lalithaa Jewellery Mart Limited
AZAD,Azad Engineering Limited
SARDAEN,Sarda Energy & Minerals Limited
GMDCLTD,Gujarat Mineral Development Corporation Limited
TATACHEM,Tata Chemicals Limited
TRITURBINE,Triveni Turbine Limited
DEVYANI,Devyani International Ltd.
COHANCE,Cohance Lifesciences Ltd
CAMS,Computer Age Management Services Ltd
BEML,BEML Limited
CHOICEIN,Choice International Limited
POLYMED,Poly Medicure Limited
DEEPAKFERT,Deepak Fertilisers and Petrochemicals Corporation Ltd.
SIGMAADV,Sigma Advanced Systems Limited
VERTIS,Vertis Infrastructure Trust Units
ALIVUS,Alivus Life Sciences Ltd
OLAELEC,Ola Electric Mobility Limited
BAYERCROP,Bayer Cropscience India Limited
ZYDUSWELL,Zydus Wellness Limited
EMAMILTD,Emami Limited
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd.
JUBLPHARMA,Jubilant Pharmova Limited
APLLTD,Alembic Pharmaceuticals Limited
INOXWIND,Inox Wind Ltd.
ASTRAZEN,AstraZeneca Pharma India Limited
AVALON,Avalon Technologies Limited
CONCORDBIO,Concord Biotech Ltd.
INDIGRID,IndiGrid Infrastructure Trust
SAMMAANCAP,Sammaan Capital Ltd
USHAMART,Usha Martin Limited
SPLPETRO,Supreme Petrochem Limited
MINDACORP,Minda Corp. Ltd.
TRAVELFOOD,Travel Food Services Limited
PARADEEP,Paradeep Phosphates Ltd.
J&KBANK,Jammu & Kashmir Bank Ltd.
VTL,Vardhman Textiles Limited
VIJAYA,Vijaya Diagnostic Centre Ltd.
ENGINERSIN,Engineers India Limited
SHADOWFAX,Shadowfax Technologies Limited
TEGA,Tega Industries Ltd.
GPIL,Godawari Power & Ispat Ltd.
JSWCEMENT,JSW Cement Limited
GRAPHITE,Graphite India Limited
BASF,BASF India Limited
CLEANMAX,Clean Max Enviro Energy Solutions Limited
FINEORG,Fine Organic Industries Ltd.
ASTRAMICRO,Astra Microwave Products Ltd.
NAVA,Nava Limited
CENTURYPLY,Century Plyboards (India) Ltd.
PSB,Punjab & Sind Bank Ltd.
SYNGENE,Syngene International Ltd.
AEQUS,Aequs Ltd.
AGARWALEYE,Dr. Agarwal's Health Care Ltd.
KFINTECH,Kfin Technologies Limited
MAHSCOOTER,Maharashtra Scooters Ltd
FIVESTAR,Five-Star Business Finance Limited
HONASA,Honasa Consumer Limited
JNPR,Juniper Green Energy Limited
PGEL,PG Electroplast Limited
DCMSHRIRAM,DCM Shriram Limited
MARKSANS,Marksans Pharma Limited
THANGAMAYL,Thangamayil Jewellery Ltd.
ZENTEC,Zen Technologies Limited
HORIZONIND,Horizon Industrial Parks Limited
BHARATCOAL,Bharat Coking Coal Limited
SHAILY,Shaily Engineering Plastics Limited
GRWRHITECH,Garware Hi-Tech Films Limited
CIEINDIA,CIE Automotive India Ltd
CMPDI,Central Mine Planning & Design Institute Limited
LTFOODS,LT Foods Limited
NIVABUPA,Niva Bupa Health Insurance Company Limited
BBOX,Black Box Limited
KPITTECH,KPIT Technologies Limited
KANSAINER,Kansai Nerolac Paints Limited
ACE,Action Construction Equipment Limited
ARVIND,Arvind Limited
RAINBOW,Rainbow Childrens Medicare Limited
NATCOPHARM,NATCO Pharma Limited
ARE&M,Amara Raja Energy & Mobility Ltd
CANHLIFE,Canara HSBC Life Insurance Company Limited
CROMPTON,Crompton Greaves Consumer Electricals Ltd.
INDGN,Indegene Limited
JSWDULUX,JSW Dulux Ltd
TI,Tilaknagar Industries Limited
APOLLO,Apollo Micro Systems Ltd.
CCL,CCL Products (India) Limited
SWANDEF,Swan Defence and Heavy Industries Ltd
KIRLOSBROS,Kirloskar Brothers Ltd.
SKFINDUS,SKF India (Industrial) Ltd.
VGUARD,V-Guard Industries Limited
PRUDENT,Prudent Corporate Advisory Services Limited
CARTRADE,CarTrade Tech Ltd.
LUMAXTECH,Lumax Auto Technologies Limited
MOLBIO,Molbio Diagnostics Limited
BALRAMCHIN,Balrampur Chini Mills Ltd
TMB,Tamilnad Mercantile Bank Limited
BIKAJI,Bikaji Foods International Ltd.
JBMA,JBM Auto Limited
IGIL,International Gemological Institute Ltd
KSB,KSB Ltd.
ABREL,Aditya Birla Real Estate Ltd
PRIVISCL,Privi Speciality Chemicals Limited
CEATLTD,CEAT Limited
SEDEMAC,SEDEMAC Mechatronics Ltd.
NAZARA,Nazara Technologies Ltd.
PCBL,PCBL Chemical Limited
CORONA,Corona Remedies Limited
VARROC,Varroc Engineering Limited
INGERRAND,Ingersoll-Rand (India) Limited
VOGL,Vedanta Oil and Gas Limited
PVRINOX,PVR Inox Limited
ANURAS,Anupam Rasayan India Ltd.
GALLANTT,Gallantt Ispat Limited
EDELWEISS,Edelweiss Financial Services Limited
FRACTAL,Fractal Analytics Limited
HOMEFIRST,Home First Finance Company India Ltd.
WABAG,VA Tech Wabag Limited
SCI,Shipping Corporation of India Limited
ATLANTAELE,Atlanta Electricals Limited
RKFORGE,Ramkrishna Forgings Ltd
MANYAVAR,Vedant Fashions Limited
SOBHA,Sobha Limited
VENTIVE,Ventive Hospitality Limited
UTLSOLAR,Fujiyama Power Systems Limited
AKUMS,Akums Drugs and Pharmaceuticals Limited
SUDEEPPHRM,Sudeep Pharma Limited
BLUESTONE,Bluestone Jewellery and Lifestyle Limited
ASKAUTOLTD,ASK Automotive Limited
GODREJAGRO,Godrej Agrovet Limited
VINATIORGA,Vinati Organics Limited
DOMS,DOMS Industries Limited
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.
EIDPARRY,E.I.D.-Parry (India) Limited
NSLNISP,NMDC Steel Limited
JSWHL,JSW Holdings Limited
LLOYDSENGG,Lloyds Engineering Works Ltd
PCJEWELLER,PC Jeweller Ltd.
AMAGI,Amagi Media Labs Limited
METROPOLIS,Metropolis Healthcare Ltd.
PARKHOSPS,Park Medi World Limited
SKYGOLD,Sky Gold and Diamonds Limited
E2E,E2E Networks Ltd
MANORAMA,Manorama Industries Ltd.
JMFINANCIL,JM Financial Limited
VEDPOWER,Vedanta Power Ltd
VISL,Vedanta Iron And Steel Limited
SOUTHBANK,South Indian Bank Limited
KTKBANK,Karnataka Bank Ltd.
APTUS,Aptus Value Housing Finance India Limited
UTIAMC,UTI Asset Management Co. Ltd.
NUVOCO,Nuvoco Vistas Corporation Limited
TECHNOE,Techno Electric & Engineering Company Limited
TRIDENT,Trident Limited
ELANTAS,ELANTAS Beck India Limited
GRAVITA,Gravita India Limited
SHREEJISPG,Shreeji Shipping Global Limited
QPOWER,Quality Power Electrical Equipments Ltd.
KARAMTARA,Karamtara Engineering Limited
BLACKBUCK,Blackbuck Ltd
STAR,Strides Pharma Science Ltd
BLUEDART,Blue Dart Express Limited
PARAS,Paras Defence & Space Technologies Ltd.
TITAGARH,Titagarh Rail Systems Ltd
JPPOWER,Jaiprakash Power Ventures Limited
CYIENT,Cyient Limited
VIYASH,Viyash Scientific Limited
BLUEJET,Blue Jet Healthcare Limited
VOLTAMP,Voltamp Transformers Limited
WELENT,Welspun Enterprises Ltd.
IIFLCAPS,IIFL Capital Services Ltd
YATHARTH,Yatharth Hospital and Trauma Care Services Limited
SIGNATURE,Signatureglobal (India) Limited
LLOYDSENT,Lloyds Enterprises Limited
KEC,KEC International Ltd.
INDIACEM,India Cements Ltd.
MGL,Mahanagar Gas Ltd
PGIL,Pearl Global Industries Limited
AAVAS,Aavas Financiers Ltd.
HCG,HealthCare Global Enterprises Ltd.
AVANTIFEED,Avanti Feeds Limited
LOTUSDEV,Sri Lotus Developers and Realty Limited
BBTC,Bombay Burmah Trading Corp. Ltd.
CANFINHOME,Can Fin Homes Ltd.
IRCON,IRCON International Ltd.
IEX,Indian Energy Exchange Ltd.
SBFC,SBFC Finance Limited
JKTYRE,JK Tyre & Industries Limited
SUDARSCHEM,Sudarshan Chemical Industries Limited
JUBLINGREA,Jubilant Ingrevia Ltd.
RATEGAIN,RateGain Travel Technologies Ltd.
ZENSARTECH,Zensar Technologies Limited
OLECTRA,Olectra Greentech Limited
KWIL,Kwality Walls (India) Limited
ABLBL,Aditya Birla Lifestyle Brands Limited
INDIAMART,IndiaMART InterMESH Ltd.
MAXESTATES,Max Estates Limited
RITES,RITES Ltd.
JWL,Jupiter Wagons Limited
HMT,HMT Ltd.
BLS,BLS International Services Ltd.
ALKYLAMINE,Alkyl Amines Chemicals Limited
SUVEN,Suven Life Sciences Limited
KENNAMET,Kennametal India Limited
SWANCORP,Swan Corp Limited
MAHSEAMLES,Maharashtra Seamless Limited
GENUSPOWER,Genus Power Infrastructures Limited
FINPIPE,Finolex Industries Limited
AFCONS,Afcons Infrastructure Limited
JAINREC,Jain Resource Recycling Limited
SAREGAMA,Saregama India Limited
SMLMAH,SML Mahindra Limited
WEWORK,WeWork India Management Limited
KIRLPNU,Kirloskar Pneumatic Co. Ltd.
ELECON,Elecon Engineering Co. Ltd.
KRN,Krn Heat Exchanger and Refrigeration Limited
INTELLECT,Intellect Design Arena Ltd
PRICOLLTD,Pricol Ltd.
SANOFICONR,Sanofi Consumer Healthcare India Limited
SGMART,SG Mart Ltd
TEJASNET,Tejas Networks Ltd.
PGINVIT,Powergrid Infrastructure Invesment Trust
WHIRLPOOL,Whirlpool Of India Limited
PGHL,Procter & Gamble Health Ltd.
THYROCARE,Thyrocare Technologies Ltd
JLHL,Jupiter Life Line Hospitals Ltd.
KRBL,KRBL Limited
MMTC,MMTC Limited
SHIPROCKET,Shiprocket Limited
TIMETECHNO,Time Technoplast Limited
JAYNECOIND,Jayaswal Neco Industries Limited
FIRSTCRY,Brainbees Solutions Limited
SANDUMA,Sandur Manganese & Iron Ores Ltd
CLEAN,Clean Science & Technology Ltd.
PNGJL,P N Gadgil Jewellers Limited
WESTLIFE,Westlife Foodworld Limited
RPOWER,Reliance Power Limited
PRECWIRE,Precision Wires India Limited
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd.
ICIL,Indo Count Industries Limited
UNIMECH,Unimech Aerospace & Manufacturing Limited
BANCOINDIA,Banco Products (India) Limited
ESABINDIA,Esab India Limited
NCC,NCC Limited
WAAREERTL,Waaree Renewable Technologies Ltd
PAISALO,Paisalo Digital Ltd.
RELIGARE,Religare Enterprises Limited
TIPSMUSIC,Tips Music Limited
LEMONTREE,Lemon Tree Hotels Ltd.
RAILTEL,RailTel Corp. of India Ltd.
TARIL,Transformers and Rectifiers (India) Limited
IRBINVIT,IRB InvIT Fund
EQUITASBNK,Equitas Small Finance Bank Ltd.
DYNAMATECH,Dynamatic Technologies Limited
KINGFA,Kingfa Science & Technology (India) Limited
EMBDL,Embassy Developments Limited
CORDELIA,Waterways Leisure Tourism Limited
SETL,Standard Engineering Technology Ltd
BATAINDIA,Bata India Ltd
INDUSINVIT,Indus Infra Trust
AVL,Aditya Vision Ltd.
AUGMONT,Augmont Enterprises Limited
VESUVIUS,Vesuvius India Ltd
GRINFRA,G R Infraprojects Ltd.
GPPL,Gujarat Pipavav Port Limited
BSOFT,Birlasoft Limited
MEDPLUS,MedPlus Health Services Ltd.
KIRLFER,Kirloskar Ferrous Industries Ltd.
ORKLAINDIA,Orkla India Ltd.
EBGNG,Gng Electronics Limited
MIDHANI,Mishra Dhatu Nigam Ltd.
AXISCADES,AXISCADES Technologies Ltd.
SONATSOFTW,Sonata Software Limited
MPIMANIPAL,Manipal Payment and Identity Solutions Limited
STARCEMENT,Star Cement Ltd.
GARFIBRES,Garware Technical Fibres Limited
ENTERO,Entero Healthcare Solutions Limited
RPEL,Raghav Productivity Enhancers Ltd.
GALAXYSURF,Galaxy Surfactants Ltd.
POWERMECH,Power Mech Projects Ltd.
SUPRIYA,Supriya Lifescience Limited
